weapon_detection_best_detections,weapon_detection_best2_detections,weapon_detection_model_detections,weapon_detection_EffientNet_detections,emotion_recognition_deepface_emotions,emotion_recognition_fer_emotions,environment_detection_violenceEnvironments,alarme
0.981526792,0.914315879,0,0.90990597,0.998286724,0,0,1
0.978808939,0,0,0,0.98802936,0,0.629033566,1
0.517772734,0,0,0.944818735,0.528517039,0,0,1
0,0,0,0.999745905,1,0,0.710995436,1
0,0,0,0,0.962246597,0,0.782345653,1
0,0,0,0,0.452150207,0,0.84329772,1
0,0.69987905,0,0,0.908985853,0,0.84420222,1
0,0,0,0,0.683596351,0,0.87235415,1
0,0,0,0.999859333,0.998469532,0,0,1
0.510397196,0,0,0,0.972605048,0,0.85999608,1
0.79045862,0,0,0.963290572,0.523504198,0,0.719476759,1
0,0,0,0,0.955890233,0.51,0,1
0,0,0,0,0.785054411,0.47,0,1
0.84417522,0.892752409,0,0,0.805481541,0.47,0,1
0.729980826,0.714282393,0.752503753,0,0.890795303,0,0,1
0.782443345,0,0,0,0.955981553,0,0,1
0.613500237,0,0,0.996956468,0.995410919,0,0,1
0,0,0,0.998947799,0.999442399,0,0.708356738,1
0,0,0,0.994722605,0.910707886,0,0,1
0,0,0,0.997382939,0.998889029,0,0.751942396,1
0,0.611140072,0,0.996857285,0.987008394,0.36,0,1
0,0,0,0.998975039,0.473890305,0.36,0,1
0,0,0,0.999746382,0.859786587,0.33,0,1
0,0,0.846758068,0,0.768221828,0,0,1
0.505001605,0,0,0,0.586684574,0,0,1
0,0,0.655909777,0,0.973082542,0,0,1
0.759057283,0,0.500784695,0,0.923883851,0.42,0,1
0,0,0,0,0.796573031,0.55,0,1
0.677900136,0,0,0.981335878,0.999593437,0,0,1
0.910494924,0,0,0.981554508,0.938282661,0,0,1
0.517254591,0,0,0,0.999974966,0.52,0,1
0,0,0,0.980997324,0.769589305,0,0,1
0,0,0.844833612,0.992831945,1,0,0.734517574,1
0.50768435,0,0.873098493,0.972367525,0.999998927,0,0.865343511,1
0.565595806,0,0.886016846,0.963550746,0.99475491,0,0.826515853,1
0,0,0.554127097,0.998552024,0.824589312,0,0.559239626,1
0,0,0.876435399,0,0.96481878,0,0.594361186,1
0,0,0,0,0.999997497,0,0,1
0,0,0,0,0.995368361,0,0,1
0,0,0.822954059,0,0.823406041,0,0.56512785,1
0,0,0.658946455,0,0.916306078,0,0.505470693,1
0,0,0.708099246,0.993136644,0.903152943,0,0,1
0,0,0,0.995366931,0.963654876,0,0,1
0.735103369,0,0.875187457,0.988064945,0.975093065,0,0,1
0.795315206,0,0.816197753,0.997968853,0.890532911,0.44,0,1
0.669608414,0,0.870361269,0.998553693,1,0,0,1
0,0,0,0,0.988582134,0,0.678063333,1
0,0,0,0,0.99119252,0.53,0,1
0.985543847,0,0,0,0.998049498,0,0,1
0,0,0,0.996068954,0.988875984,0,0,1
0,0,0,0.998021007,0.692479908,0,0.60833621,1
0.975479662,0,0,0,0.993700147,0,0,1
0,0,0,0.998518646,0.987856092,0,0,1
0,0,0,0.997889221,0.915260017,0,0,1
0.988006175,0,0,0.987110376,0.99060744,0.32,0,1
0.985995114,0,0,0,1,0,0,1
0.97513777,0,0,0,0.976200047,0,0,1
0,0,0,0,0.636417747,0,0.826308131,1
0,0,0,0.977779031,0.999004126,0,0.769476652,1
